unit_id,predicted_fault,true_fault,p_fault,risk
TX-022,D2,D2,1.0,1.0
TX-020,D2,D2,1.0,0.996
TX-024,D2,D2,1.0,0.993
TX-023,D2,D2,1.0,0.987
TX-026,D2,D2,0.996,0.972
TX-025,D2,D2,0.996,0.956
TX-027,D2,D2,1.0,0.947
TX-028,D2,D2,0.994,0.941
TX-018,D2,D1,0.995,0.856
TX-056,T3,T3,1.0,0.81
TX-051,T3,T3,0.985,0.807
TX-053,T3,T3,1.0,0.8
TX-052,T3,T3,1.0,0.8
TX-054,T3,T3,1.0,0.799
TX-057,T3,T3,0.996,0.796
TX-059,T3,T3,1.0,0.796
TX-055,T3,T3,1.0,0.795
TX-058,T3,T3,1.0,0.795
TX-050,T3,T3,0.996,0.786
TX-029,D1,D2,0.995,0.757
TX-066,T3,Normal,0.935,0.751
TX-016,D2,D1,0.996,0.723
TX-012,D2,D1,0.996,0.715
TX-013,D1,D1,0.995,0.683
TX-049,T3,T2,0.997,0.671
TX-011,D1,D1,0.994,0.623
TX-046,T2,T2,0.993,0.612
TX-007,D1,PD,0.995,0.591
TX-017,D1,D1,1.0,0.586
TX-001,D1,PD,0.995,0.583
TX-014,D1,D1,1.0,0.572
TX-041,T2,T2,0.996,0.559
TX-015,D1,D1,0.995,0.544
TX-042,T2,T2,1.0,0.501
TX-043,T2,T2,0.995,0.498
TX-045,T2,T2,0.995,0.497
TX-048,T2,T2,0.995,0.496
TX-040,T2,T2,0.995,0.488
TX-021,T1,D2,0.995,0.481
TX-005,D1,PD,0.996,0.477
TX-019,PD,D1,0.996,0.474
TX-047,T2,T2,0.997,0.467
TX-044,T2,T2,0.995,0.41
TX-010,PD,D1,1.0,0.339
TX-032,T1,T1,0.996,0.321
TX-060,T1,Normal,0.996,0.315
TX-030,T1,T1,0.997,0.311
TX-008,PD,PD,0.996,0.309
TX-035,T1,T1,1.0,0.305
TX-037,T1,T1,0.996,0.302
TX-039,T1,T1,1.0,0.3
TX-033,T1,T1,1.0,0.3
TX-031,T1,T1,1.0,0.299
TX-034,T1,T1,1.0,0.299
TX-036,T1,T1,1.0,0.299
TX-038,T1,T1,0.996,0.299
TX-062,PD,Normal,0.969,0.294
TX-063,T1,Normal,0.729,0.256
TX-000,PD,PD,1.0,0.234
TX-009,PD,PD,1.0,0.225
TX-002,PD,PD,1.0,0.224
TX-006,PD,PD,0.996,0.215
TX-004,PD,PD,1.0,0.2
TX-003,PD,PD,1.0,0.2
TX-061,Normal,Normal,0.523,0.198
TX-064,Normal,Normal,0.007,0.003
TX-065,Normal,Normal,0.005,0.003
TX-067,Normal,Normal,0.005,0.003
TX-068,Normal,Normal,0.005,0.003
TX-069,Normal,Normal,0.005,0.003
